0	1	8.947683e+02	1.906503e+02	1241	374	3.407977e+00	1.536793e+00	4.758829e+00	-1.570796e+00
0	3	2.924373e+02	1.769137e+02	3.317773e+02	1.974670e+02	-2.141978e+01	1.721707e+00	5.194318e+01	1.521110e+00
1	1	8.801066e+02	1.901733e+02	1241	374	3.388173e+00	1.539172e+00	5.048745e+00	-1.576586e+00
1	3	2.858433e+02	1.757340e+02	3.265955e+02	1.967837e+02	-2.134301e+01	1.634904e+00	5.075637e+01	1.522566e+00
2	1	8.665815e+02	1.897343e+02	1241	374	3.368369e+00	1.541552e+00	5.338661e+00	-1.582376e+00
2	3	2.789332e+02	1.764616e+02	3.211860e+02	1.980364e+02	-2.126487e+01	1.678346e+00	4.956820e+01	1.524023e+00
3	1	8.540660e+02	1.893289e+02	1241	374	3.348566e+00	1.543931e+00	5.628578e+00	-1.588166e+00
3	3	2.716706e+02	1.772262e+02	3.155203e+02	1.993531e+02	-2.118672e+01	1.721789e+00	4.838004e+01	1.525479e+00
4	1	8.424514e+02	1.889534e+02	1241	374	3.328762e+00	1.546310e+00	5.918494e+00	-1.593956e+00
4	3	2.640279e+02	1.780309e+02	3.095798e+02	2.007386e+02	-2.110857e+01	1.765232e+00	4.719187e+01	1.526936e+00
5	1	8.316439e+02	1.886046e+02	1241	374	3.308958e+00	1.548690e+00	6.208410e+00	-1.599746e+00
5	3	2.559745e+02	1.788789e+02	3.033441e+02	2.021987e+02	-2.103043e+01	1.808674e+00	4.600371e+01	1.528392e+00
6	1	8.213338e+02	1.873379e+02	1241	374	3.286537e+00	1.540383e+00	6.521717e+00	-1.601736e+00
6	3	2.463468e+02	1.797051e+02	2.956890e+02	2.036611e+02	-2.102975e+01	1.848203e+00	4.483306e+01	1.528958e+00
6	4	2.764326e+02	1.790308e+02	3.199630e+02	1.993730e+02	-2.115747e+01	1.747549e+00	4.902246e+01	1.538511e+00
7	1	8.117563e+02	1.867531e+02	1.230610e+03	374	3.264193e+00	1.539405e+00	6.834948e+00	-1.603725e+00
7	3	2.361804e+02	1.805774e+02	2.876400e+02	2.052054e+02	-2.102907e+01	1.887731e+00	4.366242e+01	1.529524e+00
7	4	2.681185e+02	1.808093e+02	3.133199e+02	2.016917e+02	-2.113896e+01	1.851869e+00	4.783515e+01	1.539206e+00
8	1	8.028783e+02	1.898918e+02	1.190148e+03	374	3.242347e+00	1.585594e+00	7.147685e+00	-1.605715e+00
8	3	2.259018e+02	1.792554e+02	2.795965e+02	2.045884e+02	-2.100303e+01	1.800589e+00	4.249419e+01	1.530090e+00
8	4	2.595113e+02	1.796525e+02	3.064847e+02	2.010709e+02	-2.111244e+01	1.765919e+00	4.665014e+01	1.539901e+00
9	1	7.944839e+02	1.854451e+02	1.154319e+03	374	3.219470e+00	1.534087e+00	7.461444e+00	-1.607705e+00
9	3	2.150153e+02	1.778552e+02	2.711176e+02	2.039349e+02	-2.097699e+01	1.713447e+00	4.132597e+01	1.530656e+00
9	4	2.504374e+02	1.784188e+02	2.993066e+02	2.004165e+02	-2.108592e+01	1.679968e+00	4.546513e+01	1.540596e+00
10	1	7.882098e+02	1.856681e+02	1.131214e+03	3.697120e+02	3.191573e+00	1.540673e+00	7.667828e+00	-1.609695e+00
10	3	2.034655e+02	1.763697e+02	2.621669e+02	2.032415e+02	-2.095095e+01	1.626305e+00	4.015775e+01	1.531221e+00
10	4	2.408576e+02	1.771164e+02	2.917591e+02	1.997256e+02	-2.105941e+01	1.594017e+00	4.428012e+01	1.541291e+00
11	1	7.822524e+02	1.834422e+02	1.098272e+03	3.534782e+02	3.208640e+00	1.516513e+00	8.073921e+00	-1.609695e+00
11	3	1.928914e+02	1.776278e+02	2.543440e+02	2.053327e+02	-2.084427e+01	1.685586e+00	3.900736e+01	1.534049e+00
11	4	2.307286e+02	1.757392e+02	2.838130e+02	1.989951e+02	-2.103289e+01	1.508066e+00	4.309511e+01	1.541985e+00
